,title,price,url,id,location,image_src,department,scraped_at,condition,description,time_posted
0,PRATELEIRA BRANCA RETA MDF DECORAÇÃO SALA QUARTO FOTOS UNIDADE 30 × 10,R$10,https://www.facebook.com/marketplace/item/149964434341027/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%229743088489050237%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A9743088489050237%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A0%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.71237126034854%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229743088489050237%5C%22%3A3502%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,149964434341027,"São Paulo, SP",https://scontent.fcgh5-1.fna.fbcdn.net/v/t45.5328-4/322333509_5917999328321918_1939275012352295480_n.jpg?stp=c0.0.525.525a_dst-jpg_p526x395&_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeFufQGJ3f07ZQOAq99hsJg37kYGUnRm7mruRgZSdGbuaugzkGZaNnXNwYIgq1Ihl4IBiPr6fe6jNKV4f5NSUuC8&_nc_ohc=UGYn2k6zaTYAX8fhlY-&_nc_ht=scontent.fcgh5-1.fna&oh=00_AfCIlCjBMIDfWKUcOWNEqbbUJ1IWJW-_ChG7JnqBVgZ7dA&oe=6439FFFF,furniture,2023-04-11 19:56,New,"PRATELEIRA 
 UNIDADE 30 × 10cm","Listed  in São Paulo, SP"
1,SOFAS DE CANTO A PARTIR 550,R$10,https://www.facebook.com/marketplace/item/1144208509585508/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%228969572809781770%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8969572809781770%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.73361199429497%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228969572809781770%5C%22%3A3001%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,1144208509585508,"São Paulo, SP",https://scontent.fcgh5-1.fna.fbcdn.net/v/t45.5328-4/336373830_6359977624068860_5488674181502152506_n.jpg?stp=c122.0.476.476a_dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeEhiHGm53XjagA9la16HeQuPoJcLyKw7kQ-glwvIrDuRK50lHdLt5qDUucfkDYUJacZxO3IkuV4EqgEZKuUyTSU&_nc_ohc=OImZmUoEargAX8WT_pl&_nc_ht=scontent.fcgh5-1.fna&oh=00_AfCrLaFxjtvNFBJg9l4lWPksbzmbRSsBtvGZemgPk7NC3A&oe=643AC82E,furniture,2023-04-11 19:56,,",🤯SOFA DE CANTO 220X140 POR 550
🤯SOFA DE CANTO 220X 3.60X 220 POR 1400
🤯PAGAMENTO NA ENTREGA
🤯ENTREGA RÁPIDA","Listed  in São Paulo, SP"
2,Sofás Retratil e Reclinavel Frete Gratis Em Toda Sao Paulo!!,R$10,https://www.facebook.com/marketplace/item/1541669532983192/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%226574760212552508%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6574760212552508%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A2%2C%5C%22ranking_signature%5C%22%3A6540596628955332608%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00016413319324741%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226574760212552508%5C%22%3A3003%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,1541669532983192,"São Paulo, SP",https://scontent.fcgh5-1.fna.fbcdn.net/v/t45.5328-4/332524874_6603161059698569_2809560508310257030_n.jpg?stp=c90.0.540.540a_dst-jpg_p180x540&_nc_cat=104&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeG4N7jsE1ansU_6BiPue7_xEUIR1sbsIJ4RQhHWxuwgnrI46wwE-TVMeW3NND-Wz_FAQit-Vv5rsfPXtgBJpGeP&_nc_ohc=OgMB0Qli1jIAX9XpYv9&_nc_ht=scontent.fcgh5-1.fna&oh=00_AfCeKNAVOcLWifpjkRS2NHHJHQSn21aNteyjOf_HQzAjUA&oe=643BBE35,furniture,2023-04-11 19:56,New,"💥LINDOS SOFÁS DIRETO DA FÁBRICA PARA SUA CASA

💥FRETE GRÁTISS💥

🚚PRONTA ENTREGA 
            
        
➡️FAÇA SEU PEDIDO VIA WHATS APP E PAGUE SOMENTE NO ATO DA ENTREGA.

⚠️FRETE GRÁTIS GRANDE SP","Listed  in São Paulo, SP"
6,"Display Acrílico Para Apoiar Livros, Cardápios, Folhetos, DVD, CD, Tablet Etc",R$12,https://www.facebook.com/marketplace/item/2760112397459738/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%226037647116356474%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6037647116356474%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A6%2C%5C%22ranking_signature%5C%22%3A6540596628955332608%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A1.9662984388748e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226037647116356474%5C%22%3A3003%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,2760112397459738,"São Paulo, SP",https://scontent.fcgh5-1.fna.fbcdn.net/v/t45.5328-4/333918889_6858953347465166_1110990511319931297_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395&_nc_cat=104&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeERUtw18nl4qUL8VGUQIfhNnahLFogl4EOdqEsWiCXgQzuc_cq2bxH5xr8t77VqSzP-2_7UibW7ofnVG1r7ZU0x&_nc_ohc=SOqhW04Fvt4AX-h0c8f&_nc_ht=scontent.fcgh5-1.fna&oh=00_AfBZoaxdSbY4qN2f0mf53VLutQ_eequ0Rdy_6456mZOCog&oe=643B2B47,furniture,2023-04-11 19:56,Used - like new,"Display de acrílico transparente para apoiar livros, cardápios, folhetos, DVD, CD, Tablet

Frete por sedex incluso no valor.
Valor para pagamento no pix.
Pagamento no crédito sujeito a taxas.","Listed  in São Paulo, SP"
10,(SOMENTE RETIRADA) Puffs - Laranja e Roxo disponíveis,R$15,https://www.facebook.com/marketplace/item/173148078800253/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%226125170914229205%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6125170914229205%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A10%2C%5C%22ranking_signature%5C%22%3A6540596628955332608%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A2.8267976804704e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226125170914229205%5C%22%3A3003%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,173148078800253,"São Paulo, SP",https://scontent.fcgh5-1.fna.fbcdn.net/v/t45.5328-4/334045074_5865314733505943_6324072187440664250_n.jpg?stp=c0.321.526.526a_dst-jpg_p526x395&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeGw9iFSImgYqWJODeNnN-O-NDDTfsX3i2g0MNN-xfeLaPXzzN3ZrRpvq-8Vg5Pds-OEupIjSV8AhmlLN7znpwEb&_nc_ohc=XFRgd9DXTlkAX-rmL9p&_nc_ht=scontent.fcgh5-1.fna&oh=00_AfC92wN2P2VVUYu6FqQ4vDUjtMvhqQGmak5TgWj0EJP75A&oe=643AF200,furniture,2023-04-11 19:56,Used - Good,"Puffs usados, laranja e roxo - unidades disponíveis apenas para retirada - bairro do Tatuapé.","Listed 6 weeks ago in São Paulo, SP"
11,MOVEIS EM PROMOÇÃO DIRETO DA FABRICA PRATELEIRA COM PAGAMENTO NA ENTREGA ESTANTE A PRONTA ENTREGA,R$16,https://www.facebook.com/marketplace/item/744164047380318/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%229818144738211385%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A9818144738211385%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A11%2C%5C%22ranking_signature%5C%22%3A6540596628955332608%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A5.0742582035459e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229818144738211385%5C%22%3A3001%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,744164047380318,"São Paulo, SP",https://scontent.fcgh4-1.fna.fbcdn.net/v/t45.5328-4/339935662_6033404436750017_5089719176706712002_n.jpg?stp=c0.85.526.526a_dst-jpg_p526x395&_nc_cat=106&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeEVqOzAIvxek1mx_EFt8RwLziQw2vMOSQTOJDDa8w5JBFx9t00PeJi8d3_Ki8pwniRETxtnHh2jnO8MGqAGxzyu&_nc_ohc=L-gIct_12gsAX-Ybqth&_nc_ht=scontent.fcgh4-1.fna&oh=00_AfBKrMK-QkLhzq4-TbZz6qNh-rUxF0K8oCHQrl3oLduv1w&oe=643B7D7D,furniture,2023-04-11 19:56,New,"🖥 jmmoveis.meloja.com.br

WhatsApp [hidden information]

💵PAGAMENTO SÓ NA ENTREGA
💳 PARCELE EM ATE 05x SEM JUROS OU ATE 12x COM JUROS
🚚 CONSULTE O VALOR DO FRETE
✅MELHOR PREÇO
✅DIRETO DA FÁBRICA 
✅ENTREGA FACILITADA
✅CUSTO BENEFICIO","Listed  in São Paulo, SP"
12,"Super Estrado 40x40x4,5cm Preto Super Estrado Pallet Palet",R$17,https://www.facebook.com/marketplace/item/600115251674526/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%226031247620297502%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6031247620297502%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A12%2C%5C%22ranking_signature%5C%22%3A6540596628955332608%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A1.1571787823004e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226031247620297502%5C%22%3A3021%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,600115251674526,"São Paulo, SP",https://scontent.fcgh5-1.fna.fbcdn.net/v/t45.5328-4/335894760_5815913188534837_4412239695022718853_n.jpg?stp=c0.305.526.526a_dst-jpg_p526x395&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeEmewHgp3NBTnk_uKYJtLyVKzHO6T0WdNkrMc7pPRZ02fCLoaNwWrd5nD6TXX4VZPXIoBYWh2S4RQzdhzSJEO3F&_nc_ohc=JGZEm91LV2UAX-qbbzi&_nc_ht=scontent.fcgh5-1.fna&oh=00_AfDbeKEmPKHSvLL39Qiphf0mdFA7E4TYZH-iz4oAouA7vA&oe=643AFB51,furniture,2023-04-11 19:56,New,"Super Estrado 40x40x4,5cm Preto Super Estrado Pallet Palet
Medida 40x40x4,5 cm 
Cor preto 
Pisoplastic 
Estrados plasticos 
Medida 50x25x2,5 cm 

Super Estrado 40x40x4,5cm Preto Super Estrado Pallet Palet","Listed  in São Paulo, SP"
14,ESTANTE PRATELEIRA DE FABRICA A PRONTA ENTREGA EM PROMOÇÃO,R$19,https://www.facebook.com/marketplace/item/169304152698280/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%229910048505688066%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A9910048505688066%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A14%2C%5C%22ranking_signature%5C%22%3A6540596628955332608%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A5.120571813923e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229910048505688066%5C%22%3A3003%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,169304152698280,"São Paulo, SP",https://scontent.fcgh5-1.fna.fbcdn.net/v/t45.5328-4/338518546_4437693756354499_8250475669455674169_n.jpg?stp=c0.204.526.526a_dst-jpg_p526x395&_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeH9cmgxj2HoNQVYwerYk4uYlDqcHu11DGuUOpwe7XUMa5I9c11X2FQkOiqG8uTU43YnrCAHK9BaRfUR3rgnarbr&_nc_ohc=cjwhdxRdmJQAX_zPSKq&_nc_ht=scontent.fcgh5-1.fna&oh=00_AfDWSC6IsYTAiX7q-Ob7gmLGqX-8wwRk0MlQYxg9k8Y6uA&oe=6439E9D6,furniture,2023-04-11 19:56,New,"Acesse catalogo: jmmoveis.meloja.com.br

WhatsApp [hidden information]

💵PAGAMENTO SÓ NA ENTREGA
💳 PARCELE EM ATE 05x SEM JUROS OU ATE 12x COM JUROS
🚚 CONSULTE O VALOR DO FRETE
✅MELHOR PREÇO
✅DIRETO DA FÁBRICA 
✅ENTREGA FACILITADA
✅CUSTO BENEFICIO","Listed  in São Paulo, SP"
16,Vende se uma casa no Villa calu próximo ao mercadão ,R$20,https://www.facebook.com/marketplace/item/1135562877842282/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%226179266272155582%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6179266272155582%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A16%2C%5C%22ranking_signature%5C%22%3A6540596628955332608%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A1.6646778888526e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226179266272155582%5C%22%3A3003%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,1135562877842282,"São Paulo, SP",https://scontent.fcgh5-1.fna.fbcdn.net/v/t45.5328-4/333875159_6437247679632701_2151236957747202219_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeHloko7_qDA8gx8skmRALJiDQ2ekuYMTpQNDZ6S5gxOlN5tSbQv4qi7QLmdfjUnpvufamhMGHyJeGTr5K9shw_B&_nc_ohc=Exm9nb5_qsYAX-e7WL4&_nc_ht=scontent.fcgh5-1.fna&oh=00_AfAfO7IpfguhZEDDTKoZCO1Cjbva0GnvXwC2p5uPw3XM9g&oe=643AEA8A,furniture,2023-04-11 19:56,,Send seller a message,"Listed a week ago in São Paulo, SP"
18,LIMPEZA de tapetes em São Paulo,R$24,https://www.facebook.com/marketplace/item/6038512956239479/?ref=category_feed&referral_code=null&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4368954667275210882%22%2C%22mf_story_key%22%3A%228967877996617834%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8967877996617834%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A18%2C%5C%22ranking_signature%5C%22%3A6540596628955332608%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A1.3912946310202e-6%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228967877996617834%5C%22%3A3003%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,6038512956239479,"São Paulo, SP",https://scontent.fcgh4-1.fna.fbcdn.net/v/t45.5328-4/334246317_6046390315438468_2948040839217253255_n.jpg?stp=c0.0.270.270a_dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeH8sp1JyCJPn46mCzjpP-fJXQq0BLrdvFJdCrQEut28Urh6mXLJnE1SdS8r2iAEYhPFBwsYGvd2A5ONdYrtJgn7&_nc_ohc=NgPf9dbf0qYAX9Lna6O&_nc_ht=scontent.fcgh4-1.fna&oh=00_AfCr7dJOi0fDxBlywoxVHtAy3EU24C-ntglP2l-Sm5KYfQ&oe=643B76AD,furniture,2023-04-11 19:56,New,"💦 Nosso método de limpeza contempla três etapas:
• Remoção das partículas de sujeiras sólidas como poeiras, areias, restos de comida, etc.;
• Escovação rotativa com equipamento industrial e produtos especializados que não danificam ou desbotam as fibras do tapete. Remoção de manchas e odores. Nesta etapa realizamos o primeiro enxágue;
• Enxágue e centrifugação do tapete. A aceleração do processo de secagem impede a formação de agentes alérgicos e maus odores.
Logo em seguida o tapete é encaminhado para o processo de secagem em varais exclusivos. Nossa lavagem não altera cor e não causa deformação na estrutura do tapete.

📲 Agende uma experiência com a Aconchego Limpeza Profissional👇🏽
https://wa.me/message/2C3O52BIINSZP1
(11) 91674-8683
ou Messenger: m.me/AconchegoLimpezaProfissional
🚐 Coletamos e entregamos em sua residência!

*a partir de R$24/m²
","Listed  in São Paulo, SP"
