,product_name,price,url,location,bet_end_date,img_source,popularity,id,department,scraped_at
0,KIT COM 90 PULSEIRA MAGNÉTICA TERAPEUTICA BIOQUÂNTICA - BIONLIFE LIVE LIFE (CONFORME LISTAGEM) (Ref.: E-19114),"R$ 700,00",https://www.superbid.net/oferta/kit-com-90-pulseira-magnetica-terapeutica-bioquantica-bionlife-live-life-conforme-listagem-ref-e-19114-2707190,Embu das Artes - SP / São Paulo,2023-04-16,https://ms.sbwebservices.net/photos/209660c4-39c0-4577-9e0c-0141cade08c3.jpg?w=295&h=190&slice=true,1 Participantes • 1 Lances,2707190,eletrodomesticos,2023-04-09 23:35
1,Equipamentos de cozinha industrial,"R$ 700,00",https://www.superbid.net/oferta/equipamentos-de-cozinha-industrial-2710001,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/1963bd6b-23bb-4547-a0b6-2a21912f5f8c.jpg?w=295&h=190&slice=true,96 Visitas,2710001,eletrodomesticos,2023-04-09 23:35
2,"ESPONJA P/ MAQUIAGEM, CREME DE MASSAGEM, ESMALTE, CONDICIONADOR E OUTROS (CONFORME LISTA) (Ref.: E-17314)","R$ 700,00",https://www.superbid.net/oferta/esponja-p-maquiagem-creme-de-massagem-esmalte-condicionador-e-outros-conforme-lista-ref-e-17314-2700641,Embu das Artes - SP / São Paulo,2023-04-11,https://ms.sbwebservices.net/photos/a3b16483-209d-47a3-a7b5-a98a1bc8eeef.jpg?w=295&h=190&slice=true,103 Visitas,2700641,eletrodomesticos,2023-04-09 23:35
3,Balcão refrigerado e cuba de pia,"R$ 700,00",https://www.superbid.net/oferta/balcao-refrigerado-e-cuba-de-pia-2709958,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/db76ebb4-0c4b-45f0-8738-0c0ea07539c8.jpg?w=295&h=190&slice=true,93 Visitas,2709958,eletrodomesticos,2023-04-09 23:35
4,"REFRIGERADOR 402 LITROS FROSTFREE ELECTROLUX  DF44S, SÉRIE: 12100109 (Ref. / Loc.: 27758 / Cozinha )","R$ 800,00",https://www.superbid.net/oferta/refrigerador-402-litros-frostfree-electrolux-df44s-serie-12100109-ref-loc-27758-cozinha-2713628,São Paulo - SP / São Paulo,2023-05-11,https://ms.sbwebservices.net/photos/52c26cf7-12bc-46c9-9ddc-e4d61d1b9827.jpg?w=295&h=190&slice=true,23 Participantes • 31 Lances,2713628,eletrodomesticos,2023-04-09 23:35
5,Câmara de fermentação,"R$ 800,00",https://www.superbid.net/oferta/camara-de-fermentacao-2710000,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/de3cdec5-2eab-4f66-b694-3f28223e44b6.jpg?w=295&h=190&slice=true,1 Participantes • 1 Lances,2710000,eletrodomesticos,2023-04-09 23:35
6,ELETRODOMÉSTICOS,"R$ 800,00",https://www.superbid.net/oferta/eletrodomesticos-2712466,Lavrinhas - SP / São Paulo,2023-04-18,https://ms.sbwebservices.net/photos/af003b95-ef17-4e27-88aa-4a4708dcb57d.jpg?w=295&h=190&slice=true,91 Visitas,2712466,eletrodomesticos,2023-04-09 23:35
7,Cafeiteira comercial,"R$ 800,00",https://www.superbid.net/oferta/cafeiteira-comercial-2710004,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/2ad510a6-6325-49ea-bf52-9753e60e657a.jpg?w=295&h=190&slice=true,71 Visitas,2710004,eletrodomesticos,2023-04-09 23:35
8,"LAVA E SECA  ELECTROLUX  LSW11, SÉRIE: 10319259 (Ref. / Loc.: 27764 / Cozinha )","R$ 870,00",https://www.superbid.net/oferta/lava-e-seca-electrolux-lsw11-serie-10319259-ref-loc-27764-cozinha-2713621,São Paulo - SP / São Paulo,2023-05-11,https://ms.sbwebservices.net/photos/00f28dea-e9bb-437e-9202-7c1accb1b535.jpg?w=295&h=190&slice=true,20 Participantes • 27 Lances,2713621,eletrodomesticos,2023-04-09 23:35
9,Geladeiras industriais e freezers,"R$ 1.000,00",https://www.superbid.net/oferta/geladeiras-industriais-e-freezers-2709957,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/bc3fe54e-68d1-4f10-9384-a951e0fb02d9.jpg?w=295&h=190&slice=true,58 Visitas,2709957,eletrodomesticos,2023-04-09 23:35
10,Geladeiras industrial e chapa a gás,"R$ 1.000,00",https://www.superbid.net/oferta/geladeiras-industrial-e-chapa-a-gas-2709956,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/1ab555b3-2351-401c-937d-a89a62087503.jpg?w=295&h=190&slice=true,83 Visitas,2709956,eletrodomesticos,2023-04-09 23:35
11,Freezer,"R$ 1.000,00",https://www.superbid.net/oferta/freezer-2709967,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/96ccc60e-5e07-415c-9166-ccb4704f88e2.jpg?w=295&h=190&slice=true,53 Visitas,2709967,eletrodomesticos,2023-04-09 23:35
12,Geladeiras e freezer,"R$ 1.000,00",https://www.superbid.net/oferta/geladeiras-e-freezer-2709954,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/e58c15d1-1208-4c5e-ab3f-bd29be40f0fa.jpg?w=295&h=190&slice=true,51 Visitas,2709954,eletrodomesticos,2023-04-09 23:35
13,Freezer,"R$ 1.000,00",https://www.superbid.net/oferta/freezer-2709964,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/5a8d7a2d-2438-4a1f-a821-88d804081dc8.jpg?w=295&h=190&slice=true,1 Participantes • 1 Lances,2709964,eletrodomesticos,2023-04-09 23:35
14,Balcão refrigerado e pista quente,"R$ 1.000,00",https://www.superbid.net/oferta/balcao-refrigerado-e-pista-quente-2709955,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/c9b9aded-c512-4d13-be92-082a30399808.jpg?w=295&h=190&slice=true,47 Visitas,2709955,eletrodomesticos,2023-04-09 23:35
15,Cafeiteira comercial,"R$ 1.000,00",https://www.superbid.net/oferta/cafeiteira-comercial-2710003,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/49d34730-07c6-416e-a964-a4e6d6224eb7.jpg?w=295&h=190&slice=true,72 Visitas,2710003,eletrodomesticos,2023-04-09 23:35
