,id,url,tweet_text,author_handle,datetime_posted,language,scraped_at
0,1.6449238150326886e+18,https://twitter.com/jeremiahjw/status/1644923815032688640,I’ve *never* seen a film portray this feeling in an evangelical church service this accurately (not even in Christian films). Steven Yeun grew up evangelical Christian and you can really see the experience of that in this performance.,jeremiahjw,2023-04-09T04:42:53.000Z,en,2023-04-09 19:43
1,1.6451043064864932e+18,https://twitter.com/QuantaMagazine/status/1645104306486493184,"Joseph Samuel Myers, a software engineer in Cambridge, England, with a doctorate in combinatorics, used a hierarchy of shapes within shapes to prove that the hat tile can fill the entire plane aperiodically. https://quantamagazine.org/hobbyist-finds-maths-elusive-einstein-tile-20230404/…",QuantaMagazine,2023-04-09T16:40:05.000Z,en,2023-04-09 19:43
2,1.645183716979798e+18,https://twitter.com/japantimes/status/1645183716979798016,Three pictures depicting an Indian elephant being led to safety through a chaotic scene following the 1923 Great Kanto Earthquake have been discovered at Japan's oldest amusement park.,japantimes,2023-04-09T21:55:38.000Z,en,2023-04-09 19:43
3,1.6451321629439304e+18,https://twitter.com/papers_daily/status/1645132162943930371,"Graph Neural Networks are Dynamic Programmers

https://ai.papers.bar/paper/6ab305ceafca11ecac827bce58715ee7…

Recent advances in neural algorithmic reasoning with graph neural networks (GNNs) are propped up by the notion of algorithmic alignment. Broadly,...",papers_daily,2023-04-09T18:30:47.000Z,en,2023-04-09 19:43
4,1.6450516414299095e+18,https://twitter.com/hardmaru/status/1645051641429909510,“GoPro footage of the Roman invasion of Britain” #AIart #SDXL,hardmaru,2023-04-09T13:10:49.000Z,en,2023-04-09 19:43
5,1.6451939918879375e+18,https://twitter.com/japantimes/status/1645193991887937536,"The Japanese government believes young people's incomes must be hiked, lest measures to tackle the country's low birthrate end up just looking good just on paper.",japantimes,2023-04-09T22:36:28.000Z,en,2023-04-09 19:43
3,1.6451880633734758e+18,https://twitter.com/japantimes/status/1645188063373475843,"As Japan looks to shift its energy mix toward cleaner sources, Hokkaido is set to play a key role as an envisioned renewable energy hub.",japantimes,2023-04-09T22:12:55.000Z,en,2023-04-09 19:43
4,1.64519031045922e+18,https://twitter.com/japantimes/status/1645190310459219972,"The Bank of Japan is seeing its first leadership change in a decade, with new Gov. Kazuo Ueda now facing a long list of challenges.",japantimes,2023-04-09T22:21:50.000Z,en,2023-04-09 19:43
5,1.6451885907736986e+18,https://twitter.com/nhk_news/status/1645188590773698560,"＼
新生活に
「NHKニュース･防災アプリ」
／

速報や最新ニュースをいち早く
地震、津波、避難情報など命を守る情報
1時間ごとの天気予報
マップで雨雲の動きを確認
様々なライブ配信も

ダウンロードはこちらから
(iOS)
https://apps.apple.com/jp/app/id1121104608…
(Android)
https://play.google.com/store/apps/details?id=jp.or.nhk.news&pli=1…",nhk_news,2023-04-09T22:15:00.000Z,ja,2023-04-09 19:43
6,1.6450449722137477e+18,https://twitter.com/yoavgo/status/1645044972213747712,"codex-gpt-et-al will not replace programmers. they may, however:
(a) create a new class of creators that didn't exist before
(b) make it much harder to get a job as a junior-dev, which means a likely serious shortage in senior devs a few years down the line",yoavgo,2023-04-09T12:44:19.000Z,en,2023-04-09 19:43
